ranking_id,top_name,level_id,position,requirement
560,PCR,1831,560,100
561,PCR,2371,561,100
562,PCR,3189,562,100
563,PCR,3051,563,100
564,PCR,1711,564,100
565,PCR,1827,565,100
566,PCR,2525,566,100
567,PCR,2126,567,100
568,PCR,2075,568,100
569,PCR,1848,569,100
570,PCR,2064,570,100
571,PCR,2345,571,100
572,PCR,2825,572,100
573,PCR,2231,573,100
574,PCR,2324,574,100
575,PCR,2415,575,100
576,PCR,1738,576,100
577,PCR,1819,577,100
578,PCR,1663,578,100
579,PCR,2576,579,100
580,PCR,1686,580,100
581,PCR,3120,581,100
582,PCR,2909,582,100
583,PCR,3245,583,100
584,PCR,1619,584,100
585,PCR,1544,585,100
586,PCR,2586,586,100
587,PCR,3090,587,100
588,PCR,3188,588,100
589,PCR,2078,589,100
590,PCR,2397,590,100
591,PCR,3193,591,100
592,PCR,2213,592,100
593,PCR,3195,593,100
594,PCR,2615,594,100
595,PCR,1695,595,100
596,PCR,2406,596,100
597,PCR,2364,597,100
598,PCR,2496,598,100
599,PCR,2507,599,100
600,PCR,2502,600,100
601,PCR,1957,601,100
602,PCR,2508,602,100
603,PCR,1628,603,100
604,PCR,2079,604,100
605,PCR,1596,605,100
606,PCR,3329,606,100
607,PCR,3265,607,100
608,PCR,2009,608,100
609,PCR,3294,609,100
610,PCR,3288,610,100
611,PCR,1840,611,100
612,PCR,1828,612,100
613,PCR,2739,613,100
614,PCR,2223,614,100
615,PCR,1592,615,100
616,PCR,1660,616,100
617,PCR,1670,617,100
618,PCR,3187,618,100
619,PCR,1630,619,100
620,PCR,3162,620,100
621,PCR,2081,621,100
622,PCR,3161,622,100
623,PCR,3119,623,100
624,PCR,1736,624,100
625,PCR,2533,625,100
626,PCR,2040,626,100
627,PCR,2824,627,100
628,PCR,3244,628,100
629,PCR,2205,629,100
630,PCR,2896,630,100
631,PCR,2908,631,100
632,PCR,2249,632,100
633,PCR,2401,633,100
634,PCR,3186,634,100
635,PCR,3264,635,100
636,PCR,1973,636,100
637,PCR,2618,637,100
638,PCR,1553,638,100
639,PCR,2698,639,100
640,PCR,2165,640,100
641,PCR,2275,641,100
642,PCR,2913,642,100
643,PCR,2974,643,100
644,PCR,2981,644,100
645,PCR,1924,645,100
646,PCR,2604,646,100
647,PCR,2460,647,100
648,PCR,2386,648,100
649,PCR,2411,649,100
650,PCR,1775,650,100
651,PCR,1861,651,100
652,PCR,2318,652,100
653,PCR,3322,653,100
654,PCR,2314,654,100
655,PCR,2398,655,100
656,PCR,2766,656,100
657,PCR,1577,657,100
658,PCR,2278,658,100
659,PCR,2574,659,100
660,PCR,1687,660,100
661,PCR,1659,661,100
662,PCR,1994,662,100
663,PCR,2923,663,100
664,PCR,1627,664,100
665,PCR,1656,665,100
666,PCR,2760,666,100
667,PCR,2297,667,100
668,PCR,2630,668,100
669,PCR,2662,669,100
670,PCR,3330,670,100
671,PCR,2823,671,100
672,PCR,3158,672,100
673,PCR,2207,673,100
674,PCR,3157,674,100
675,PCR,2004,675,100
676,PCR,1770,676,100
677,PCR,1941,677,100
678,PCR,2922,678,100
679,PCR,2168,679,100
680,PCR,1766,680,100
681,PCR,3118,681,100
682,PCR,1850,682,100
683,PCR,2474,683,100
684,PCR,2041,684,100
685,PCR,1751,685,100
686,PCR,2238,686,100
687,PCR,2582,687,100
688,PCR,2147,688,100
689,PCR,3185,689,100
690,PCR,3156,690,100
691,PCR,3321,691,100
692,PCR,1872,692,100
693,PCR,2462,693,100
694,PCR,2176,694,100
695,PCR,2118,695,100
696,PCR,3089,696,100
697,PCR,2631,697,100
698,PCR,3103,698,100
699,PCR,1611,699,100
700,PCR,2049,700,100
701,PCR,1852,701,100
702,PCR,2733,702,100
703,PCR,1691,703,100
704,PCR,1606,704,100
705,PCR,2603,705,100
706,PCR,2021,706,100
707,PCR,2148,707,100
708,PCR,2017,708,100
709,PCR,2099,709,100
710,PCR,2646,710,100
711,PCR,2539,711,100
712,PCR,1867,712,100
713,PCR,3001,713,100
714,PCR,3214,714,100
715,PCR,2027,715,100
716,PCR,2344,716,100
717,PCR,2552,717,100
718,PCR,2022,718,100
719,PCR,2452,719,100
720,PCR,1743,720,100
721,PCR,2191,721,100
722,PCR,1612,722,100
723,PCR,2765,723,100
724,PCR,1646,724,100
725,PCR,1712,725,100
726,PCR,2491,726,100
727,PCR,2338,727,100
728,PCR,3295,728,100
729,PCR,2764,729,100
730,PCR,1679,730,100
731,PCR,1997,731,100
732,PCR,3184,732,100
733,PCR,2451,733,100
734,PCR,2210,734,100
735,PCR,1927,735,100
736,PCR,2061,736,100
737,PCR,2119,737,100
738,PCR,3323,738,100
739,PCR,1567,739,100
740,PCR,2002,740,100
741,PCR,2980,741,100
742,PCR,2892,742,100
743,PCR,3343,743,100
744,PCR,1842,744,100
745,PCR,3050,745,100
746,PCR,2966,746,100
747,PCR,2271,747,100
748,PCR,2010,748,100
749,PCR,1955,749,100
750,PCR,1866,750,100
751,PCR,1971,751,100
752,PCR,3331,752,100
753,PCR,2336,753,100
754,PCR,2468,754,100
755,PCR,3324,755,100
756,PCR,1818,756,100
757,PCR,2763,757,100
758,PCR,2943,758,100
759,PCR,2407,759,100
760,PCR,2611,760,100
761,PCR,2110,761,100
762,PCR,2568,762,100
763,PCR,2091,763,100
764,PCR,3296,764,100
765,PCR,2801,765,100
766,PCR,2690,766,100
767,PCR,3263,767,100
768,PCR,2097,768,100
769,PCR,3289,769,100
770,PCR,2308,770,100
771,PCR,2405,771,100
772,PCR,2519,772,100
773,PCR,1689,773,100
774,PCR,2987,774,100
775,PCR,2697,775,100
776,PCR,1797,776,100
777,PCR,1958,777,100
778,PCR,2677,778,100
779,PCR,2441,779,100
780,PCR,3160,780,100
781,PCR,3049,781,100
782,PCR,3183,782,100
783,PCR,2159,783,100
784,PCR,3223,784,100
785,PCR,2272,785,100
786,PCR,1854,786,100
787,PCR,2583,787,100
788,PCR,2579,788,100
789,PCR,1547,789,100
790,PCR,1620,790,100
791,PCR,2916,791,100
792,PCR,2715,792,100
793,PCR,2730,793,100
794,PCR,2005,794,100
795,PCR,1795,795,100
796,PCR,2428,796,100
797,PCR,1701,797,100
798,PCR,2023,798,100
799,PCR,2924,799,100
800,PCR,3048,800,100
801,PCR,2538,801,100
802,PCR,2409,802,100
803,PCR,3068,803,100
804,PCR,1925,804,100
805,PCR,2587,805,100
806,PCR,1786,806,100
807,PCR,1658,807,100
808,PCR,2919,808,100
809,PCR,2509,809,100
810,PCR,2187,810,100
811,PCR,1555,811,100
812,PCR,2247,812,100
813,PCR,1961,813,100
814,PCR,2822,814,100
815,PCR,2820,815,100
816,PCR,2581,816,100
817,PCR,1677,817,100
818,PCR,2553,818,100
819,PCR,2918,819,100
820,PCR,2891,820,100
821,PCR,2985,821,100
822,PCR,1602,822,100
823,PCR,2738,823,100
824,PCR,3047,824,100
825,PCR,2105,825,100
826,PCR,2761,826,100
827,PCR,2979,827,100
828,PCR,3159,828,100
829,PCR,1557,829,100
830,PCR,2788,830,100
831,PCR,2431,831,100
832,PCR,2878,832,100
833,PCR,2142,833,100
834,PCR,3046,834,100
835,PCR,2526,835,100
836,PCR,1714,836,100
837,PCR,1734,837,100
838,PCR,2600,838,100
839,PCR,2595,839,100
840,PCR,3356,840,100
841,PCR,1803,841,100
842,PCR,2732,842,100
843,PCR,2332,843,100
844,PCR,3262,844,100
845,PCR,2164,845,100
846,PCR,2350,846,100
847,PCR,2678,847,100
848,PCR,1572,848,100
849,PCR,2273,849,100
850,PCR,1909,850,100
851,PCR,2433,851,100
852,PCR,2077,852,100
853,PCR,1873,853,100
854,PCR,2410,854,100
855,PCR,2131,855,100
856,PCR,2500,856,100
857,PCR,1896,857,100
858,PCR,2408,858,100
859,PCR,1761,859,100
860,PCR,2426,860,100
861,PCR,2399,861,100
862,PCR,1862,862,100
863,PCR,3117,863,100
864,PCR,2327,864,100
865,PCR,3325,865,100
866,PCR,2605,866,100
867,PCR,3067,867,100
868,PCR,3361,868,100
869,PCR,1859,869,100
870,PCR,2914,870,100
871,PCR,2378,871,100
872,PCR,2098,872,100
873,PCR,2617,873,100
874,PCR,1835,874,100
875,PCR,1865,875,100
876,PCR,1573,876,100
877,PCR,2195,877,100
878,PCR,2039,878,100
879,PCR,2261,879,100
880,PCR,2008,880,100
881,PCR,2154,881,100
882,PCR,3213,882,100
883,PCR,1678,883,100
884,PCR,2475,884,100
885,PCR,2580,885,100
886,PCR,3381,886,100
887,PCR,2326,887,100
888,PCR,2188,888,100
889,PCR,3261,889,100
890,PCR,2413,890,100
891,PCR,2286,891,100
892,PCR,1622,892,100
893,PCR,2138,893,100
894,PCR,2680,894,100
895,PCR,2973,895,100
896,PCR,3045,896,100
897,PCR,2032,897,100
898,PCR,2883,898,100
899,PCR,3242,899,100
900,PCR,3290,900,100
901,PCR,1905,901,100
902,PCR,3116,902,100
903,PCR,2293,903,100
904,PCR,1662,904,100
905,PCR,2540,905,100
906,PCR,2446,906,100
907,PCR,1830,907,100
908,PCR,3326,908,100
909,PCR,1703,909,100
910,PCR,2487,910,100
911,PCR,1581,911,100
912,PCR,2495,912,100
913,PCR,1639,913,100
914,PCR,2051,914,100
915,PCR,2388,915,100
916,PCR,2789,916,100
917,PCR,3357,917,100
918,PCR,2362,918,100
919,PCR,2578,919,100
920,PCR,1665,920,100
921,PCR,3115,921,100
922,PCR,2956,922,100
923,PCR,3087,923,100
924,PCR,3182,924,100
925,PCR,1723,925,100
926,PCR,1999,926,100
927,PCR,1940,927,100
928,PCR,1931,928,100
929,PCR,2862,929,100
930,PCR,2608,930,100
931,PCR,1735,931,100
932,PCR,1645,932,100
933,PCR,3114,933,100
934,PCR,3305,934,100
935,PCR,1613,935,100
936,PCR,3102,936,100
937,PCR,1753,937,100
938,PCR,2480,938,100
939,PCR,2404,939,100
940,PCR,2214,940,100
941,PCR,2759,941,100
942,PCR,3066,942,100
943,PCR,1993,943,100
944,PCR,3065,944,100
945,PCR,2547,945,100
946,PCR,3025,946,100
947,PCR,1900,947,100
948,PCR,2067,948,100
949,PCR,2527,949,100
950,PCR,3306,950,100
951,PCR,1693,951,100
952,PCR,3064,952,100
953,PCR,3043,953,100
954,PCR,1880,954,100
955,PCR,1897,955,100
956,PCR,2695,956,100
957,PCR,2152,957,100
958,PCR,3024,958,100
959,PCR,1962,959,100
960,PCR,2122,960,100
961,PCR,1846,961,100
962,PCR,1950,962,100
963,PCR,2092,963,100
964,PCR,1595,964,100
965,PCR,2614,965,100
966,PCR,2417,966,100
967,PCR,1929,967,100
968,PCR,3212,968,100
969,PCR,2329,969,100
970,PCR,2884,970,100
971,PCR,3307,971,100
972,PCR,3291,972,100
973,PCR,2955,973,100
974,PCR,2316,974,100
975,PCR,2299,975,100
976,PCR,2103,976,100
977,PCR,2787,977,100
978,PCR,1841,978,100
979,PCR,2799,979,100
980,PCR,1610,980,100
981,PCR,3042,981,100
982,PCR,1671,982,100
983,PCR,1954,983,100
984,PCR,2762,984,100
985,PCR,2251,985,100
986,PCR,3155,986,100
987,PCR,2340,987,100
988,PCR,2367,988,100
989,PCR,2320,989,100
990,PCR,3181,990,100
991,PCR,2070,991,100
992,PCR,2471,992,100
993,PCR,2069,993,100
994,PCR,2888,994,100
995,PCR,3041,995,100
996,PCR,2954,996,100
997,PCR,3241,997,100
998,PCR,1538,998,100
999,PCR,1773,999,100
1000,PCR,2624,1000,100
1001,PCR,1881,1001,100
1002,PCR,2315,1002,100
1003,PCR,1977,1003,100
1004,PCR,1809,1004,100
1005,PCR,2643,1005,100
1006,PCR,2664,1006,100
1007,PCR,3086,1007,100
1008,PCR,2989,1008,100
1009,PCR,2016,1009,100
1010,PCR,1887,1010,100
1011,PCR,1780,1011,100
1012,PCR,2341,1012,100
1013,PCR,2170,1013,100
1014,PCR,2317,1014,100
1015,PCR,1860,1015,100
1016,PCR,2208,1016,100
1017,PCR,2798,1017,100
1018,PCR,2073,1018,100
1019,PCR,2757,1019,100
1020,PCR,3222,1020,100
1021,PCR,3180,1021,100
1022,PCR,3023,1022,100
1023,PCR,2821,1023,100
1024,PCR,1542,1024,100
1025,PCR,2250,1025,100
1026,PCR,2134,1026,100
1027,PCR,2616,1027,100
1028,PCR,2162,1028,100
1029,PCR,1760,1029,100
1030,PCR,2881,1030,100
1031,PCR,2158,1031,100
1032,PCR,2716,1032,100
1033,PCR,1984,1033,100
1034,PCR,3022,1034,100
1035,PCR,1808,1035,100
1036,PCR,2566,1036,100
1037,PCR,1728,1037,100
1038,PCR,2290,1038,100
1039,PCR,3386,1039,100
1040,PCR,2135,1040,100
1041,PCR,3314,1041,100
1042,PCR,3260,1042,100
1043,PCR,3153,1043,100
1044,PCR,2220,1044,100
1045,PCR,2819,1045,100
1046,PCR,3221,1046,100
1047,PCR,2171,1047,100
1048,PCR,1537,1048,100
1049,PCR,2650,1049,100
1050,PCR,2860,1050,100
1051,PCR,1543,1051,100
1052,PCR,1902,1052,100
1053,PCR,2361,1053,100
1054,PCR,2267,1054,100
1055,PCR,1945,1055,100
1056,PCR,1717,1056,100
1057,PCR,3211,1057,100
1058,PCR,3374,1058,100
1059,PCR,2593,1059,100
1060,PCR,2167,1060,100
1061,PCR,3085,1061,100
